artist.hotttnesss,artist.name,duration,location,release.name,song.hotttnesss,tempo,terms,title,year
0.520049688,Charlotte Gainsbourg,189.70077,Not available,5:55,0.819642711,119.683,pop,Tel Que Tu Es,2006
0.39437572,Greis,275.30404,Not available,2,,156.833,hip hop,Le Choix,0
0.60725728,Britney Spears,465.47546,"Kentwood, LA; Los Angeles, CA",3,,131.999,dance pop,3,2009
0.469055976,Mouth Of The Architect,475.21914,"Dayton, OH",111,0.690970954,124.562,doom metal,Harboring An Apparition,2006
0.344814469,Gertrudis,106.52689,Not available,500,0.323112121,97.76,big beat,Intro,2009
0.344814469,Gertrudis,263.47057,Not available,500,0.435179324,228.461,big beat,Oye,2005
0.399042081,Gabriel Yared,100.0224,"Beirut, Lebanon",1408,0.212045406,137.149,latin jazz,Ship in a Painting,2007
0.332275747,Planet P Project,271.82975,Not available,1931,0.49528505,99.995,new wave,Join The Parade (Album Version),0
0.357663448,Miossec,225.90649,"Brest, France",1964,,89.013,chanson,"DA(c)solA(c) Pour La PoussiA""re",2004
0.380756416,Swami,259.91791,"Birmingham/ London, UK",53431,0.46238712,91.988,downtempo,Tonight,2009
0.358685666,Spliff,225.74975,Not available,85555,0.433861382,110.598,pop rock,S.O.S.,1988
0.358685666,Spliff,264.41098,Not available,85555,0.575319688,107.965,pop rock,Heut' Nacht,1982
0.416503946,Marlene Dietrich,167.02649,"Schi?1/2erg, Germany", Lazy Afternoon En Anglais,0.299877488,81.674,chanson,A Guy What Takes His Time En Anglais,0
0.3228233,Danilo Perez,197.19791,Panama,. . . Till Then,0.253834736,159.233,latin jazz,Native Soul,2003
0,Shunza,315.61098,Not available,... And Music'S There ...,,63.993,chinese music,Yueh Kuang,0
0.366527802,Gran Coquivacoa,212.40118,Not available,... De Punto Alfa,,181.671,gaita,Versos Gaiteros,0
0.508813195,DMX / Dyme,233.40363,Not available,...And Then There Was X,0.515963631,119.579,hip hop,Good Girls_ Bad Guys,1999
0.517328584,The Ataris,99.49995,"Anderson, IN",...Anywhere But Here,0.538422403,228.637,pop punk,Make It Last,1997
0.31843689,Johann KAPhnich,376.05832,Not available,...Liest_ Singt Und Macht,,124.015,german,Die Gesellschaft,0
0.509878708,Sister Hazel,332.93016,"Gainesville, FL",...Somewhere More Familiar,0.598242155,119.461,post-grunge,Cerilene,1997
0.509878708,Sister Hazel,188.62975,"Gainesville, FL",...Somewhere More Familiar,0.707172424,138.581,post-grunge,Think About Me,1997
0.509878708,Sister Hazel,235.65016,"Gainesville, FL",...Somewhere More Familiar,0.652839543,142.893,post-grunge,Concede,1997
0.4895687,Molesta Ewenement,269.37424,Warszawa,...Taka Plyta,0.536612583,185.592,hip hop,To My_ Niechciani,0
