0,Tel Que Tu Es,0.819642711,0,0,2006,189.70077
1,Le Choix,0,1,1,0,275.30404
2,3,0,2,2,2009,465.47546
3,Harboring An Apparition,0.690970954,3,3,2006,475.21914
4,Intro,0.323112121,4,4,2009,106.52689
5,Oye,0.435179324,4,4,2005,263.47057
6,Ship in a Painting,0.212045406,5,5,2007,100.0224
7,Join The Parade (Album Version),0.49528505,6,6,0,271.82975
8,"DA(c)solA(c) Pour La PoussiA""re",0,7,7,2004,225.90649
9,Tonight,0.46238712,8,8,2009,259.91791
10,S.O.S.,0.433861382,9,9,1988,225.74975
11,Heut' Nacht,0.575319688,9,9,1982,264.41098
12,A Guy What Takes His Time En Anglais,0.299877488,10,7,0,167.02649
13,Native Soul,0.253834736,11,5,2003,197.19791
14,Yueh Kuang,0,12,10,0,315.61098
15,Versos Gaiteros,0,13,11,0,212.40118
16,Good Girls_ Bad Guys,0.515963631,14,1,1999,233.40363
17,Make It Last,0.538422403,15,12,1997,99.49995
18,Die Gesellschaft,0,16,13,0,376.05832
19,Cerilene,0.598242155,17,14,1997,332.93016
20,Think About Me,0.707172424,17,14,1997,188.62975
21,Concede,0.652839543,17,14,1997,235.65016
22,To My_ Niechciani,0.536612583,18,1,0,269.37424
23,deine liebe,0,19,1,0,320.522
24,It's My Party,0,20,15,1963,140.2771
25,Punk Rocker '97,0.0,21,16,0,122.56608
26,I Am The Curse (Duties Demo),0.0,21,16,0,162.87302
27,Awake,0.531722098,22,14,2006,227.99628
28,Said You'd Be,0.511424326,22,14,2006,153.25995
29,Dance_ Dance,0,23,12,2008,189.80526
30,Shelter Your Needs,0.60676353,24,14,2005,241.37098
31,Trouble In The City,0,25,17,1983,202.94485
32,Losers,0.304169503,25,17,1983,160.62649
33,Good Day (Live),0,26,18,0,244.55791
34,Mira Nina,0,27,19,0,165.22404
35,Hoy,0.0,27,19,0,165.27628
36,Toda Mi Vida,0.0,28,19,0,201.32526
37,Ven Morena,0,29,20,2003,173.68771
38,PA!ginas del Alma,0,29,21,0,183.90159
39,Morning Rain Music by Jorge Alfano,0.0,30,22,0,564.29669
40,18 Carat Garbage,0,31,23,0,466.96444
41,Left To Starve,0,32,3,1992,247.01342
42,Opening,0.460541281,33,4,0,163.21261
43,Superman,0,34,24,1999,149.62893
44,Le Coeur Du Volcan,0.379523324,35,7,0,174.15791
45,Hallelujah [Club Mix - Remastered version],0.327736683,36,25,0,389.0673
46,The Battle Of New Orleans,0,37,26,1959,148.79302
47,From A Jack To A King,0,37,26,1963,128.26077
48,Remember (Walkin' In the Sand),0,38,27,1964,136.01914
49,Here Comes The Hotstepper,0,39,28,1995,242.59873
50,I hit You Wit The Pepper,0,40,29,0,199.26159
51,Studen plamuk,0.0,41,30,0,190.17098
52,Love Unlimited (Explicit),0.232940848,42,17,1998,205.66159
53,We Need Love,0,43,31,1979,216.65914
54,Como Olvidar (Merengue VersiA3n),0.683770112,44,32,2006,279.53587
55,I'll Take A Melody,0.340922756,45,33,0,225.07057
56,10000 Km,0,46,34,0,250.43546
57,Gum,0.0,47,35,0,197.56363
58,I've Got a Home,0,48,36,2008,131.81342
59,Ready For The Floor (Radio Edit),0,49,37,2008,202.10893
60,The Date ( LP Version ),0.49271364,50,14,1998,321.01832
61,He That Dwelleth (Psalm 91) (In My Dreams Album Version),0.265861049,51,38,0,321.01832
62,Verdad Amarga,0.23571423,52,39,0,168.12363
63,Amor que terminA3,0.0,52,39,0,179.56526
64,Que Vas A Hacer Conmigo,0.48456253,53,40,2004,205.37424
65,El Gran SeA+-or,0,53,40,1997,205.06077
66,Time Is On My Side,0,54,41,1964,172.72118
67,Around And Around,0.633254322,54,41,1964,183.17016
68,L'accordA(c)oniste,0,55,42,1999,182.04689
69,10 $ Bill,0,55,42,0,334.13179
70,Off The Record,0,56,43,0,219.01016
71,How Can You Call That Beautiful (Stewkey Vocal),0,57,44,0,220.89098
72,It Must Be Everywhere (Complete Version),0.334706549,57,44,0,151.562
73,Ruby D.,0.561018716,58,45,2001,98.89914
74,Fotia Sta Savvatovrada (Live),0,59,30,0,177.3971
75,Mi Mas Agapas,0,59,30,0,215.562
76,Edo Pou Ta Leme,0,59,30,0,163.29098
77,Maria Morena,0,60,46,0,191.92118
78,MA!s Y MA!s,0,61,19,0,251.61098
79,Mi Amante Amigo,0,62,47,0,238.05342
80,Caricia Y Herida,0,63,48,0,134.81751
81,Aquel Amor,0,63,48,0,207.75138
82,De Bombacha Y Alpargatas,0.0,64,49,0,131.57832
83,Sera Cuestion De Conversar,0,65,50,0,229.25016
84,Llorando Por Amor,0,66,48,0,161.93261
85,15Ao Off Cool (Album Version),0,67,51,0,307.09506
86,Orgullo,0,68,52,0,182.72608
87,Perfect Tree,0,69,38,0,245.62893
88,Song From Moulin Rouge,0,70,53,0,195.02975
89,Mark Practices,0,71,54,0,48.69179
90,FRIENDS IN FALL RIVER  (LP Version),0,72,55,2006,181.81179
91,BLEEDS NO MORE (Live Version),0.360370583,72,55,2006,256.46975
92,MY CONSOLATION (LP Version),0.594923657,72,55,2006,242.83383
93,MY HERIONE (Acoustic Version),0.592932119,72,55,2006,214.04689
94,Serenata,0,73,1,0,200.75057
95,The Hood Comes First (LP Version),0.439202489,74,29,1993,216.60689
96,Wolverine Blues (Slight Flaw In Master) (1940 Blackhawk Restaurant Chicago),0.265861049,75,7,0,171.85914
97,Broken-Down Merry-Go-Round,0,76,24,0,151.84934
98,Standing Outside of Heaven,0,76,24,0,139.04934
